Id,District,County,Parish,Address,Latitude,Longitude,Inspection Utility,Inspection Time,Opening Hours
36,Porto,Vila Nova de Gaia,Vila Nova de Gaia,"Praceta Fernão Pó 170, 4400-626 Vila Nova de Gaia, Portugal",41.12144,-8.61552,0.29,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
37,Porto,Porto,Viso,"Rua do Doutor Paulo Pombo 22, 4250-363 Porto, Portugal",41.17208,-8.63414,0.73,60,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
38,Porto,,,"Rua das Antas 58, 4350-039 Porto, Portugal",41.15713,-8.59116,0.2,30,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
39,Porto,,,"Rua Central de Frejufe 673, 4475-819 Maia, Portugal",41.25085,-8.59387,0.88,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
40,Porto,,,"Travessa Flor de Infesta 46, 4465-132 Matosinhos, Portugal",41.19044,-8.60724,0.02,60,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
41,Porto,,,"Avenida Dom João I 41, 4435-208 Gondomar, Portugal",41.16656,-8.5479,0.91,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
42,Porto,,,"Rua de Murraceses 463, 4415-490 Vila Nova de Gaia, Portugal",41.03224,-8.5623764,0.22,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
43,Porto,Vila Nova de Gaia,,"Gulpilhares, Portugal",41.07815933227539,-8.624589920043945,0.38,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,Porto,Porto,Antas,"Rua João Espregueira Mendes 12-R, 4350-008 Porto, Portugal",41.15774,-8.59092,0.92,30,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
45,Porto,Vila do Conde,Areia-Cabreiro,"Rua 13 20, 4480-064 Vila do Conde, Portugal",41.3322866,-8.7282086,0.34,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
46,Porto,Santo Tirso,Santo Tirso,"Rua de São Bento da Batalha 559, 4780-547 Santo Tirso, Portugal",41.3509805,-8.4839722,0.76,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
47,Porto,Porto,Aldoar,"Rua Professor Melo Adrião 106, 4100-340 Porto, Portugal",41.1701359,-8.6674287,0.6,30,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
48,Porto,Vila do Conde,Vilar de Pinheiro,"Rua 10 138, 4485-890 Vila do Conde, Portugal",41.2712584,-8.6656889,0.35,30,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
49,Porto,Vila Nova de Gaia,Vila Nova de Gaia,"Avenida Dom João II 5, 4430-237 Vila Nova de Gaia, Portugal",41.1377054,-8.6014388,0.94,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
50,Porto,,,"Bougado, Portugal",41.33340072631836,-8.559900283813477,0.06,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
51,Porto,Vila do Conde,Vila do Conde,"Rua Almeida Garrett 323, 4480-725 Vila do Conde, Portugal",41.3430106,-8.7501954,0.29,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
52,Porto,Vila do Conde,Vila do Conde,"Rua Almeida Garrett 189, 4480-725 Vila do Conde, Portugal",41.34366,-8.7493,0.47,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
53,Porto,Vila do Conde,Vila do Conde,"Rua 5 de Outubro 352, 4480-739 Vila do Conde, Portugal",41.35538,-8.74147,0.93,60,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
54,Porto,,,"Rua Egas Moniz 30, 4610-183 Felgueiras, Portugal",41.3592614,-8.1879663,0.6,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
55,Porto,Gondomar,São Pedro da Cova,"Rua Entre Muros 54, 4510-261 Gondomar, Portugal",41.15262,-8.50866,0.87,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
56,Porto,Matosinhos,Amieira,"Rua de Silva Brinco 147S, 4465-267 Matosinhos, Portugal",41.18614,-8.6131,0.75,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,Porto,Matosinhos,Monte dos Pipos,"Rua António Ferro 8, 4460-668 Matosinhos, Portugal",41.19869,-8.65582,0.27,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
58,Porto,Maia,Vila Nova da Telha,"Rua da Fábrica 272, 4470-768 Maia, Portugal",41.2497996,-8.6657012,0.98,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
59,Porto,Porto,Aldoar,"Rua da Fonte da Moura 40, 4100-250 Porto, Portugal",41.16505,-8.66304,0.64,60,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
60,Porto,,,"Rua do Professor Antão de Almeida Garret 20, 4250-041 Porto, Portugal",41.17195,-8.6347,0.16,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
61,Porto,Vila Nova de Gaia,Regedoura,"Regedoura, Vila Nova de Gaia, Portugal",41.01793,-8.58517,0.09,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
62,Porto,Santo Tirso,Aves,"Rua Manuel Moreira Garcia, 4795-083 Santo Tirso, Portugal",41.36971,-8.39712,0.19,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
63,Porto,Valongo,Ermesinde,"Rua Dr. Faria Sampaio 180, 4445-671 Valongo, Portugal",41.20778,-8.54017,0.66,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
64,Porto,Valongo,Valongo,"Rua Sousa Pinto 34, 4440-698 Valongo, Portugal",41.1885249,-8.5021276,0.88,120,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
65,Porto,Vila Nova de Gaia,Aldeia Nova-Avintes,"Rua C 128, 4430-776 Vila Nova de Gaia, Portugal",41.09672,-8.55167,0.29,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
66,Porto,Porto,Lordelo do Ouro,"Largo Pinto Correia 302, 4150-621 Porto, Portugal",41.15097,-8.64488,0.77,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
67,Porto,Vila do Conde,Bairro da Louca,"Praceta das Areias 1, 4485-754 Vila do Conde, Portugal",41.3023,-8.73477,0.31,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
68,Porto,,,"Rua do Padre António Lopes Petejo 102, 4495-141 Póvoa de Varzim, Portugal",41.40265,-8.73603,0.53,120,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
69,Porto,Felgueiras,Varziela,"Avenida de Pedra Maria, 4650-747 Felgueiras, Portugal",41.35073,-8.21544,0.66,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
70,Porto,Felgueiras,Felgueiras,"Rua da Cabreira, 4610-138 Felgueiras, Portugal",41.36252,-8.20699,0.66,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
71,Porto,,,"Rua dos Carregais 537, 4420-061 Gondomar, Portugal",41.14791,-8.55037,0.46,60,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
72,Porto,Porto,Ribeira,"Rua Ferreira Borges 25, 4050-253 Porto, Portugal",41.1418009,-8.6154049,0.42,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
73,Porto,Póvoa de Varzim,São Felix,"São Felix, Póvoa de Varzim, Portugal",41.43865,-8.72203,0.93,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
74,Porto,Porto,Antas,"Travessa das Antas 95, 4350-048 Porto, Portugal",41.15881,-8.59226,0.15,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
75,Porto,Porto,Viso,"Rua de Marta Sampaio 30, 4250-282 Porto, Portugal",41.17256,-8.63386,0.08,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
76,Porto,,,"Rua da Queimada 61, 4440-567 Valongo, Portugal",41.18961,-8.48755,0.35,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
77,Porto,,,"Avenida Gago Coutinho 877, 4410-011 Vila Nova de Gaia, Portugal",41.0680572,-8.6522364,0.19,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
78,Porto,,,"Rua Júlio Brandão 67, 4150-444 Porto, Portugal",41.15715,-8.64076,0.8,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
79,Porto,,,"Rua António Gomes Soares Pereira 85, 4470-139 Maia, Portugal",41.2333375,-8.6280866,0.88,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
80,Porto,,,"Rua da Rasa 891, 4400-273 Vila Nova de Gaia, Portugal",41.11466,-8.61217,0.55,120,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,Porto,,,"Rua de Pedro Hispano 1413, 4250-368 Porto, Portugal",41.16659,-8.62699,0.65,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
82,Porto,,,"Rua Nova da Estrada 31, 4580-626 Paredes, Portugal",41.2581827,-8.3436232,0.0,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
83,Porto,Gondomar,Pinheiro de Além,"Rua Luís de Camões 59, 4420-592 Gondomar, Portugal",41.1430878,-8.5483058,0.92,60,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,Porto,Matosinhos,Matosinhos,"Rua do Doutor Filipe Coelho 180, 4450-126 Matosinhos, Portugal",41.18525,-8.68532,0.24,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
85,Porto,Gondomar,Rio Tinto,"Avenida Dom João I 739, 4435-208 Gondomar, Portugal",41.16855,-8.55709,0.5,60,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
86,Porto,Trofa,Trofa,"Avenida de Mosteirô 617, 4785-216 Trofa, Portugal",41.32995,-8.55569,0.01,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
87,Porto,Vila Nova de Gaia,Vila Nova de Gaia,"Rua das Corujeiras 309, 4430-071 Vila Nova de Gaia, Portugal",41.10718,-8.60804,0.43,30,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
88,Porto,Póvoa de Varzim,Póvoa de Varzim,"Avenida dos Descobrimentos, 4490-408 Póvoa de Varzim, Portugal",41.37765,-8.76485,0.29,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
89,Porto,Porto,Cedofeita,"Rua de Álvares Cabral 372, 4050-040 Porto, Portugal",41.15432,-8.61455,0.41,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,Porto,Paços de Ferreira,Carvalhosa,"Rua Nossa Senhora do Rosário, 4590-055 Paços de Ferreira, Portugal",41.29864,-8.36609,0.24,120,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
91,Porto,Porto,Baixa,"Rua do Ateneu Comercial do Porto 22, 4000-380 Porto, Portugal",41.14805,-8.60781,0.8,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
92,Porto,Matosinhos,Matosinhos,"Rua de Roberto Ivens 753, 4450-255 Matosinhos, Portugal",41.18095,-8.6904,0.36,60,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
93,Porto,Maia,Cidadelha,"Rua Central de Cidadelha 625, 4475-622 Maia, Portugal",41.27447,-8.59034,0.59,60,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
94,Porto,Porto,Santo Ildefonso,"Rua de Santa Catarina 286, 4000-443 Porto, Portugal",41.14871,-8.60606,0.62,60,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
95,Porto,Matosinhos,Senhora da Hora,"Senhora da Hora, Matosinhos, Portugal",41.18346,-8.65066,0.97,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
96,Porto,Porto,"União das Freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória","Rua João Pedro Ribeiro & Rua de Faria Guimarães, 4000 Porto (União das Freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória)",41.16105,-8.6075,0.49,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
